list_id,stable_meta_label,current_title,fallback_name,idea_list_url,include_in_meta,first_seen,last_seen,last_changed,last_product_count,product_hash,status
21T7CCUQI2DH5,IL_21T7CCUQI2DH5,ELEVATED Bathroom Must-Haves,ELEVATED Bathroom Must-Haves 31 Items,https://www.amazon.com/shop/thehillarystyle/list/21T7CCUQI2DH5,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:32:42-07:00,,40,e3fa7826cfe8f8e39b73edc5e99213b5321a1fc562ba99693d10143b707bf135,approved_active
222ENLE1WDY2M,IL_222ENLE1WDY2M,Spring Obsessed,See all,https://www.amazon.com/shop/thehillarystyle/list/222ENLE1WDY2M,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:56:00-07:00,2026-08-05T22:56:00-07:00,73,64d9214287771585eadbb6a696e7c41eb193a1bfa8e8d3aa1807878052f45308,approved_active
22L0SLOF07ITQ,IL_22L0SLOF07ITQ,For the Big Kids,For the Big Kids 38 Items,https://www.amazon.com/shop/thehillarystyle/list/22L0SLOF07ITQ,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:35:36-07:00,2026-08-05T22:35:36-07:00,40,b6ae4c22cb137d88f2e66b85b0782f41f6a811d5cf16dd49cfbe8aa4296e2351,approved_active
23YO2PO28IXV,IL_23YO2PO28IXV,MUST-HAVE HOSTING,MUST-HAVE HOSTING 14 Items,https://www.amazon.com/shop/thehillarystyle/list/23YO2PO28IXV,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:48:32-07:00,,24,6cc2704d7c68e288f2c6c38fb37b45dcc302e1aa1d3996ff8ba370dda071904b,approved_active
24ASC2W86JF33,IL_24ASC2W86JF33,TRAVEL,See all,https://www.amazon.com/shop/thehillarystyle/list/24ASC2W86JF33,yes,2026-08-04T12:43:18-07:00,2026-08-05T23:01:58-07:00,2026-08-05T23:01:58-07:00,74,e34932dd9bba6abd6b7b9f9da53be30666856cdc5e0b4b542e2614649aee1f0e,approved_active
26IY6FNENQC7M,IL_26IY6FNENQC7M,FOR HIM - GIFT GUIDE,FOR HIM - GIFT GUIDE 291 Items,https://www.amazon.com/shop/thehillarystyle/list/26IY6FNENQC7M,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:35:34-07:00,2026-08-05T22:35:34-07:00,72,b6fac06288168e36c0edd934497b51b5c73969b055dafc5dffd2ac23aaca3935,approved_active
270Y6RLSPP10V,IL_270Y6RLSPP10V,Outdoor PLANTERS,Outdoor PLANTERS 45 Items,https://www.amazon.com/shop/thehillarystyle/list/270Y6RLSPP10V,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:51:08-07:00,2026-08-04T19:30:09-07:00,55,4d956cdb4041150da106f6b9ce695b3cb5936ce4ddbda59e39a7fe596db8436d,approved_active
27BIT6UUHQ198,IL_27BIT6UUHQ198,LUXE JEWELRY & ACCESSORIES,LUXE JEWELRY AND ACCESSORIES,https://www.amazon.com/shop/thehillarystyle/list/27BIT6UUHQ198,yes,2026-08-04T18:39:33+00:00,2026-08-05T22:46:50-07:00,2026-08-05T22:46:50-07:00,73,ea47d945936d7e779cf7c35befdcfa48cb73718b0e590f27a3cd2c039e33aebe,approved_active
27L1ENCS6OMON,IL_27L1ENCS6OMON,LAUNDRY Room Essentials,See all,https://www.amazon.com/shop/thehillarystyle/list/27L1ENCS6OMON,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:45:36-07:00,2026-08-04T20:47:14-07:00,70,b6d670323e40e49e46bd4b0ac1c843876f57988718ffa97a4126be1aa87fe7d2,approved_active
27VCDHN1568QK,IL_27VCDHN1568QK,ORGANIZING Essentials,See all,https://www.amazon.com/shop/thehillarystyle/list/27VCDHN1568QK,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:50:13-07:00,2026-08-05T22:50:13-07:00,72,74d7056d98219cb8ba98ff156fa8c89ce9496ecfd4a8b39c49efb565f7cc66f4,approved_active
286Q78OJSYZO8,IL_286Q78OJSYZO8,KITCHEN Essentials,See all,https://www.amazon.com/shop/thehillarystyle/list/286Q78OJSYZO8,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:44:10-07:00,2026-08-05T22:44:10-07:00,73,aa5aa1e436b3f504c06c3e91f48b4714e9638b2eba47b6b12b9e427e4d2619ed,approved_active
28Z72BVY6B71P,IL_28Z72BVY6B71P,LAMPS,See all,https://www.amazon.com/shop/thehillarystyle/list/28Z72BVY6B71P,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:45:03-07:00,2026-08-05T22:45:03-07:00,89,e1e367aa8d89bcb84466f85eb80b9cccc0095f4e09eb66148f3cd6ccc35ee59f,approved_active
2969EJ7F6BLI8,IL_2969EJ7F6BLI8,NIGHTSTAND Essentials,See all,https://www.amazon.com/shop/thehillarystyle/list/2969EJ7F6BLI8,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:49:47-07:00,,27,3224a808d77c08d58bb0c730052fbb1f2c5371dc8e7d2b563c3e5a5567160e11,approved_active
29FTLXCTPVP41,IL_29FTLXCTPVP41,HILLARY'S BEACH Bag Essentials,See all,https://www.amazon.com/shop/thehillarystyle/list/29FTLXCTPVP41,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:38:25-07:00,2026-08-05T22:38:25-07:00,40,2211aa3c8eb8e55ff7422b382f3c3f566de25e0db59fd710bda437471da374ce,approved_active
2ABZ85AO7D848,IL_2ABZ85AO7D848,Furniture Mover REEL,Furniture Mover REEL 7 Items,https://www.amazon.com/shop/thehillarystyle/list/2ABZ85AO7D848,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:36:13-07:00,,17,16b96a2265bfbddd0834f69ae9a15b7367a93031cf1683b84a5ef5332e13a9ac,approved_active
2B46UO4I7XY3G,IL_2B46UO4I7XY3G,KITCHEN Organizing,See all,https://www.amazon.com/shop/thehillarystyle/list/2B46UO4I7XY3G,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:44:31-07:00,2026-08-05T22:44:31-07:00,73,7360174e8ab380ec785ff5c1efb7e9ba8052e5f1fdd7d57ddb2b2989805613f5,approved_active
2C66SA5TXKNJK,IL_2C66SA5TXKNJK,For the Hostess - GIFT GUIDE,For the Hostess - GIFT GUIDE 86 Items,https://www.amazon.com/shop/thehillarystyle/list/2C66SA5TXKNJK,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:36:03-07:00,2026-08-05T22:36:03-07:00,74,db0ed4378160d3b608ffaa1f03b2194e1294ea5ff028b3ffcd466991414bda7f,approved_active
2DHFOQ3A1Q5U2,IL_2DHFOQ3A1Q5U2,NEW Arrivals,See all,https://www.amazon.com/shop/thehillarystyle/list/2DHFOQ3A1Q5U2,yes,2026-08-04T12:43:18-07:00,2026-08-05T22:49:12-07:00,2026-08-05T22:49:12-07:00,90,307033177b7616145bf3f5463af22f7185c304e87d5c27eb728a05da02eca8b5,approved_active
2DVQFMB8O8SDC,IL_2DVQFMB8O8SDC,TOP 100 HOME PICKS,PRIME DAY HOME,https://www.amazon.com/shop/thehillarystyle/list/2DVQFMB8O8SDC,yes,2026-08-04T18:39:33+00:00,2026-08-05T22:59:30-07:00,2026-08-05T22:59:30-07:00,74,53a79d7c2594c46a6411b46f97efe2c8ba5f7abc0db72671cbc24a65dfe46017,approved_active
